symbol,entry_price,exit_price,entry_time,exit_time,pnl,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
SNXUSDTUSDT,2.009004,2.36388996375,2025-10-13 08:15:00,2025-10-13 08:15:00,31.095182269839523,Smart Trailing (Max 360%),0 days 00:00:00,73.50495074353503,28.369955323568345,3.8191817697477997,0.012948207171314641
SNXUSDTUSDT,2.2941465,2.2608974347755004,2025-10-13 08:30:00,2025-10-13 08:30:00,-3.3105503131438745,Stop Loss,0 days 00:00:00,84.57924416130209,33.03212816912797,6.155231753422794,0.034467713787085595
SNXUSDTUSDT,2.2441215,2.2115974471005,2025-10-13 08:45:00,2025-10-13 08:45:00,-3.237313829037121,Stop Loss,0 days 00:00:00,78.49806564725306,36.2214924290591,2.626548635652217,0.034313725490196054
BATUSDTUSDT,0.21420705,0.22212666747064225,2025-10-13 09:00:00,2025-10-13 09:00:00,7.700655464968762,Smart Trailing (Max 81%),0 days 00:00:00,83.468533009804,45.245281309866066,4.60009700765186,0.04899673355109664
BATUSDTUSDT,0.21690839999999997,0.21376474655879998,2025-10-13 09:15:00,2025-10-13 09:15:00,-3.3282947316572233,Stop Loss,0 days 00:00:00,84.4576784241738,47.589749359433675,3.158155014837295,0.02813653136531363
SNXUSDTUSDT,2.4662325,2.4304893923775,2025-10-13 09:45:00,2025-10-13 09:45:00,-3.2546657028973005,Stop Loss,0 days 00:00:00,81.0799229039757,39.56798663919163,3.1068838841934174,0.044237012987012984
WUSDTUSDT,0.08632313999999999,0.08507205873198,2025-10-13 10:15:00,2025-10-13 10:45:00,-3.182665506411336,Stop Loss,0 days 00:30:00,66.25438076841877,34.288780899522514,2.6635779472853045,0.01263768115942038
USELESSUSDTUSDT,0.39589785,0.39016010245995,2025-10-13 11:15:00,2025-10-13 11:15:00,-3.112258108930636,Stop Loss,0 days 00:00:00,75.47865568943189,34.23874688630416,3.1813941397342194,0.003286147623862406
B2USDTUSDT,1.7897944499999998,1.7638549590361499,2025-10-13 13:00:00,2025-10-13 13:00:00,-3.0434082743197894,Stop Loss,0 days 00:00:00,79.84888900286506,36.30536894118467,6.041004917461647,0.01478794642857141
B2USDTUSDT,1.7996994,1.7736163565958,2025-10-13 13:15:00,2025-10-13 13:15:00,-2.976081545942425,Stop Loss,0 days 00:00:00,79.9776034465119,37.58101003949364,3.0764866116145053,0.02146949218532731
IPUSDTUSDT,6.728362499999999,6.958866335984685,2025-10-13 13:45:00,2025-10-13 13:45:00,6.552605355406121,Smart Trailing (Max 76%),0 days 00:00:00,72.71279937432963,40.80860178394921,3.539821524151308,0.007286245353159908
IPUSDTUSDT,6.926461499999999,7.1222247453847745,2025-10-13 14:00:00,2025-10-13 14:00:00,5.644776087998867,Smart Trailing (Max 65%),0 days 00:00:00,76.98060611891432,41.77116563563696,3.264942600586181,0.008956948858711395
