,symbol,entry_price,exit_price,entry_time,exit_time,pnl,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
283,OMUSDTUSDT,0.2539269,0.27154,2025-08-03 09:00:00,2025-08-03 09:15:00,2.350765601082168,Partial TP 25%,0 days 00:15:00,0.0,0.0,0.0,0.0
284,OMUSDTUSDT,0.2539269,0.26878554,2025-08-03 09:00:00,2025-08-03 09:30:00,1.9651994191887492,Final TP 40%,0 days 00:30:00,80.81940978710843,43.17107496296163,6.99669120351742,0.0029956641702800096
285,INITUSDTUSDT,0.4018008,0.4059,2025-08-03 15:00:00,2025-08-03 15:00:00,0.5090095155805737,Partial TP 15%,0 days 00:00:00,0.0,0.0,0.0,0.0
286,INITUSDTUSDT,0.4018008,0.4072,2025-08-03 15:00:00,2025-08-03 15:15:00,0.5028257055991383,Partial TP 25%,0 days 00:15:00,0.0,0.0,0.0,0.0
287,INITUSDTUSDT,0.4018008,0.40561589859600006,2025-08-03 15:00:00,2025-08-03 15:30:00,0.3364114300742934,Stop Loss,0 days 00:30:00,81.9028777630239,35.811636142657335,5.278931954042988,0.0014940239043824439
288,PENGUUSDTUSDT,0.0353246535,0.03407124648218625,2025-08-03 19:30:00,2025-08-03 20:00:00,-4.578448342728094,Stop Loss,0 days 00:30:00,74.76546553390848,28.01846457066518,3.6401238129865177,0.0048153183775208625
289,MAGICUSDTUSDT,0.19339664999999998,0.199,2025-08-04 05:45:00,2025-08-04 05:45:00,1.3677696085563766,Partial TP 15%,0 days 00:00:00,0.0,0.0,0.0,0.0
290,MAGICUSDTUSDT,0.19339664999999998,0.2008,2025-08-04 05:45:00,2025-08-04 06:00:00,1.355360248535139,Partial TP 25%,0 days 00:15:00,0.0,0.0,0.0,0.0
291,MUSDTUSDT,0.5026512,0.48481587879599997,2025-08-04 06:00:00,2025-08-04 06:00:00,-4.33868718487944,Stop Loss,0 days 00:00:00,84.92249457716085,29.53703637296095,4.793242828676198,0.002786624203821791
292,MAGICUSDTUSDT,0.19339664999999998,0.19999995,2025-08-04 05:45:00,2025-08-04 06:15:00,1.1905845783574442,Final TP 40%,0 days 00:30:00,72.70073258843658,32.59972385408215,4.722993402319598,0.005170630816959674
293,HYPERUSDTUSDT,0.42010994999999995,0.405203398699125,2025-08-04 09:00:00,2025-08-04 09:45:00,-4.205399573142211,Stop Loss,0 days 00:45:00,76.5016811124443,31.369660110198424,4.4577994273273545,0.005480104836788107
294,INITUSDTUSDT,0.43721849999999995,0.42170489457375,2025-08-04 15:00:00,2025-08-05 03:30:00,-3.8987039130272034,Stop Loss,0 days 12:30:00,69.45838295384709,35.2142794666628,3.72950125132071,0.0006866559853512634
295,PENDLEUSDTUSDT,4.16418105,4.2251,2025-08-07 09:00:00,2025-08-07 09:30:00,0.5874955653977801,Partial TP 15%,0 days 00:30:00,0.0,0.0,0.0,0.0
296,PENDLEUSDTUSDT,4.16418105,4.2486,2025-08-07 09:00:00,2025-08-07 09:45:00,0.6105952100356679,Partial TP 25%,0 days 00:45:00,0.0,0.0,0.0,0.0
297,AIXBTUSDTUSDT,0.12159076499999999,0.12439,2025-08-06 19:45:00,2025-08-07 10:00:00,0.9254540286868462,Partial TP 15%,0 days 14:15:00,0.0,0.0,0.0,0.0
298,PENDLEUSDTUSDT,4.16418105,4.29854965,2025-08-07 09:00:00,2025-08-07 10:00:00,0.9563313287597586,Final TP 40%,0 days 01:00:00,80.83266879411707,33.17180906673984,5.5865479364273325,0.0015136589702314737
299,AIXBTUSDTUSDT,0.12159076499999999,0.12489,2025-08-06 19:45:00,2025-08-07 10:15:00,0.8180691302270028,Partial TP 25%,0 days 14:30:00,0.0,0.0,0.0,0.0
300,AIXBTUSDTUSDT,0.12159076499999999,0.12683655000000002,2025-08-06 19:45:00,2025-08-07 10:30:00,1.2850052328003678,Final TP 40%,0 days 14:45:00,73.54118634934224,32.37374359109776,4.754477893042985,0.0004937052579610343
301,LDOUSDTUSDT,0.9792894,0.9908,2025-08-07 10:30:00,2025-08-07 10:45:00,0.5077102167176957,Partial TP 15%,0 days 00:15:00,0.0,0.0,0.0,0.0
302,LDOUSDTUSDT,0.9792894,1.0091,2025-08-07 10:30:00,2025-08-07 11:00:00,0.986165763718956,Partial TP 25%,0 days 00:30:00,0.0,0.0,0.0,0.0
303,NEIROUSDTUSDT,0.00040800389999999997,0.0004142,2025-08-07 10:45:00,2025-08-07 11:00:00,0.6709246869403127,Partial TP 15%,0 days 00:15:00,0.0,0.0,0.0,0.0
304,LDOUSDTUSDT,0.9792894,1.0038978,2025-08-07 10:30:00,2025-08-07 11:15:00,0.7974665642283331,Final TP 40%,0 days 00:45:00,83.45528034376642,41.662860342486056,3.5408894851309096,0.0007150883644907896
305,NEIROUSDTUSDT,0.00040800389999999997,0.0004202,2025-08-07 10:45:00,2025-08-07 11:15:00,0.9904614888065998,Partial TP 25%,0 days 00:30:00,0.0,0.0,0.0,0.0
306,NEIROUSDTUSDT,0.00040800389999999997,0.0004167915,2025-08-07 10:45:00,2025-08-07 11:30:00,0.6967285783349533,Final TP 40%,0 days 00:45:00,81.66939511680684,26.19918416090038,4.765786836580743,0.0002451581269919157
307,MKRUSDTUSDT,1956.2776499999998,1977.2,2025-08-07 10:15:00,2025-08-07 11:45:00,0.455420690639003,Partial TP 15%,0 days 01:30:00,0.0,0.0,0.0,0.0
308,MKRUSDTUSDT,1956.2776499999998,1969.9642575088126,2025-08-07 10:15:00,2025-08-07 12:30:00,0.4147179692642565,Stop Loss,0 days 02:15:00,73.91943676657685,28.722196854555843,4.037172326764776,0.0
309,XLMUSDTUSDT,0.430204995,0.43321481669626877,2025-08-07 21:45:00,2025-08-07 21:45:00,0.7865413722867792,Trailing Stop (Stepped),0 days 00:00:00,82.65276325297665,33.39094490310238,6.4356173024969,2.325635479897207e-05
310,SUSDTUSDT,0.29964975,0.3032,2025-08-07 20:15:00,2025-08-07 22:45:00,0.5746879189028418,Partial TP 15%,0 days 02:30:00,0.0,0.0,0.0,0.0
311,SUSDTUSDT,0.29964975,0.3017461745634375,2025-08-07 20:15:00,2025-08-07 23:00:00,0.4723969842758862,Trailing Stop (Stepped),0 days 02:45:00,73.81442082922453,29.055796435333026,3.5027095296716473,0.0023372287145243206
312,TIAUSDTUSDT,1.72996455,1.7420678144829378,2025-08-07 11:15:00,2025-08-08 00:30:00,0.7445087369598072,Trailing Stop (Stepped),0 days 13:15:00,80.86005089103459,31.117027612735445,4.652329967849378,0.00028915105250979927
313,LDOUSDTUSDT,1.0578286499999998,1.0829,2025-08-07 23:00:00,2025-08-08 03:15:00,1.1731199474810128,Partial TP 15%,0 days 04:15:00,0.0,0.0,0.0,0.0
314,LDOUSDTUSDT,1.0578286499999998,1.0769,2025-08-07 23:00:00,2025-08-08 03:30:00,0.6692793101605633,Partial TP 25%,0 days 04:30:00,0.0,0.0,0.0,0.0
315,LDOUSDTUSDT,1.0578286499999998,1.07995975,2025-08-07 23:00:00,2025-08-08 03:45:00,0.7577067162447263,Final TP 40%,0 days 04:45:00,79.07572233391309,36.39869686780445,3.8902039987681696,0.004728579534707883
316,LINKUSDTUSDT,19.665827999999998,19.823,2025-08-08 13:45:00,2025-08-08 14:00:00,0.4195973470793458,Partial TP 15%,0 days 00:15:00,0.0,0.0,0.0,0.0
317,LINKUSDTUSDT,19.665827999999998,19.695307076172,2025-08-08 13:45:00,2025-08-08 14:15:00,0.0786141251932713,Stop Loss,0 days 00:30:00,67.80940291677335,42.437734996266336,4.746847504586328,0.0021875158976445673
318,SOONUSDTUSDT,0.201710805,0.20858,2025-08-08 15:15:00,2025-08-08 15:15:00,1.7979006964299344,Partial TP 15%,0 days 00:00:00,0.0,0.0,0.0,0.0
319,ETCUSDTUSDT,22.508248499999997,21.709599572598748,2025-08-08 14:30:00,2025-08-08 15:30:00,-4.751606554260328,Stop Loss,0 days 01:00:00,81.33657587369704,27.182554230019836,5.467399242581562,0.00031118026228041325
320,SOONUSDTUSDT,0.201710805,0.20587,2025-08-08 15:15:00,2025-08-08 15:30:00,0.8164515187465105,Partial TP 25%,0 days 00:15:00,0.0,0.0,0.0,0.0
321,SOONUSDTUSDT,0.201710805,0.203626049093475,2025-08-08 15:15:00,2025-08-08 15:45:00,0.35597719038626446,Stop Loss,0 days 00:30:00,79.09114126045922,35.63564517796132,3.6498683342516376,0.0004959825414146252
322,ALPINEUSDTUSDT,1.09324635,1.1237,2025-08-08 21:30:00,2025-08-08 21:30:00,1.429487852067197,Partial TP 15%,0 days 00:00:00,0.0,0.0,0.0,0.0
323,ALPINEUSDTUSDT,1.1249622,1.1553207111697499,2025-08-08 21:45:00,2025-08-08 22:45:00,3.4685301139485243,Trailing Stop (Stepped),0 days 01:00:00,80.77304111348828,52.35178008187085,4.615576856380546,0.0011568924090060327
324,MOODENGUSDTUSDT,0.177578745,0.18095,2025-08-09 05:15:00,2025-08-09 05:15:00,1.0466473132837957,Partial TP 15%,0 days 00:00:00,0.0,0.0,0.0,0.0
325,MOODENGUSDTUSDT,0.177578745,0.18156,2025-08-09 05:15:00,2025-08-09 05:30:00,0.9270219508568052,Partial TP 25%,0 days 00:15:00,0.0,0.0,0.0,0.0
326,ALPINEUSDTUSDT,1.27853895,1.3002629249341877,2025-08-09 05:30:00,2025-08-09 05:30:00,2.3040296808972487,Trailing Stop (Stepped),0 days 00:00:00,72.73149858640002,49.96838871061118,4.117431889787895,0.018859065654589568
327,MOODENGUSDTUSDT,0.177578745,0.17926485518377502,2025-08-09 05:15:00,2025-08-09 05:45:00,0.3717345219124072,Stop Loss,0 days 00:30:00,69.87493062299058,28.80662148497533,3.6418026423616783,0.0022536480928502093
328,MOODENGUSDTUSDT,0.19101546,0.19235185191202503,2025-08-09 09:15:00,2025-08-09 09:15:00,0.952508416215601,Trailing Stop (Stepped),0 days 00:00:00,80.14316846168096,34.980165904710354,4.549610508297382,0.004138292299633384
329,SEIUSDTUSDT,0.33046515,0.3327771668056875,2025-08-09 09:00:00,2025-08-09 09:45:00,0.9534614011242422,Trailing Stop (Stepped),0 days 00:45:00,75.87148519825712,39.90901824619711,3.679408773431709,0.0006055101422949849
330,DOGEUSDTUSDT,0.24315151499999998,0.24536,2025-08-09 12:30:00,2025-08-09 17:30:00,0.546304500632697,Partial TP 15%,0 days 05:00:00,0.0,0.0,0.0,0.0
331,DOGEUSDTUSDT,0.24315151499999998,0.24485266378681877,2025-08-09 12:30:00,2025-08-09 17:45:00,0.585783817215624,Trailing Stop (Stepped),0 days 05:15:00,75.25469477816203,51.00601951811974,4.573437909744232,0.002592272558943306
332,PROVEUSDTUSDT,1.26173055,1.2729,2025-08-09 18:15:00,2025-08-09 18:15:00,0.5399397129499548,Partial TP 15%,0 days 00:00:00,0.0,0.0,0.0,0.0
333,PROVEUSDTUSDT,1.26173055,1.2832,2025-08-09 18:15:00,2025-08-09 18:30:00,0.7783871634364339,Partial TP 25%,0 days 00:15:00,0.0,0.0,0.0,0.0
334,PROVEUSDTUSDT,1.26173055,1.27371068157225,2025-08-09 18:15:00,2025-08-09 18:45:00,0.4112569539454992,Stop Loss,0 days 00:30:00,83.93784801407868,47.43589662567161,4.103522456978933,0.018158750297359385
335,USUALUSDTUSDT,0.08676336,0.0836847790788,2025-08-09 20:15:00,2025-08-09 21:15:00,-5.602924544867312,Stop Loss,0 days 01:00:00,84.72456951117012,40.11776417871584,4.24330267033091,0.00311346863468626
